opt,name,kernal_size,lamda,sigma,dilation_level,fd
449,prostate,5,5.0,0.03,3,0.4298487650207963
450,prostate,5,5.0,0.03,5,0.5146304511163805
451,prostate,5,5.0,0.03,7,0.5926176800980545
452,prostate,5,5.0,0.03,9,0.6265706908810846
453,prostate,5,5.0,0.03,12,0.6369126555402184
454,prostate,5,5.0,0.03,14,0.6361256018676907
455,prostate,5,10.0,0.03,0,0.29317607797706163
456,prostate,5,10.0,0.03,3,0.4298487650207963
457,prostate,5,10.0,0.03,5,0.5146304511163805
458,prostate,5,10.0,0.03,7,0.5926176800980545
459,prostate,5,10.0,0.03,9,0.6265706908810846
460,prostate,5,10.0,0.03,12,0.6369126555402184
461,prostate,5,10.0,0.03,14,0.6361256018676907
462,prostate,7,0.0,0.03,0,0.29317607797706163
463,prostate,7,0.0,0.03,3,0.6770025145904832
464,prostate,7,0.0,0.03,5,0.8513409319307439
465,prostate,7,0.0,0.03,7,0.8015674863690674
466,prostate,7,0.0,0.03,9,0.6883796718358589
467,prostate,7,0.0,0.03,12,0.5361163659276773
468,prostate,7,0.0,0.03,14,0.45644296366613496
469,prostate,7,0.1,0.03,0,0.29317607797706163
470,prostate,7,0.1,0.03,3,0.42068304371409554
471,prostate,7,0.1,0.03,5,0.5027295905239973
472,prostate,7,0.1,0.03,7,0.579675495121382
473,prostate,7,0.1,0.03,9,0.6104563828490195
474,prostate,7,0.1,0.03,12,0.6219936158672029
475,prostate,7,0.1,0.03,14,0.6164164917535613
476,prostate,7,1.0,0.03,0,0.29317607797706163
477,prostate,7,1.0,0.03,3,0.42068304371409554
478,prostate,7,1.0,0.03,5,0.5027295905239973
479,prostate,7,1.0,0.03,7,0.579675495121382
480,prostate,7,1.0,0.03,9,0.6104563828490195
481,prostate,7,1.0,0.03,12,0.6219936158672029
482,prostate,7,1.0,0.03,14,0.616416645167021
483,prostate,7,2.0,0.03,0,0.29317607797706163
484,prostate,7,2.0,0.03,3,0.42068304371409554
485,prostate,7,2.0,0.03,5,0.5027295905239973
486,prostate,7,2.0,0.03,7,0.579675495121382
487,prostate,7,2.0,0.03,9,0.6104563828490195
488,prostate,7,2.0,0.03,12,0.6219936158672029
489,prostate,7,2.0,0.03,14,0.616416645167021
490,prostate,7,5.0,0.03,0,0.29317607797706163
491,prostate,7,5.0,0.03,3,0.42068304371409554
492,prostate,7,5.0,0.03,5,0.5027295905239973
493,prostate,7,5.0,0.03,7,0.579675495121382
494,prostate,7,5.0,0.03,9,0.6104563828490195
495,prostate,7,5.0,0.03,12,0.6219936158672029
496,prostate,7,5.0,0.03,14,0.616416645167021
497,prostate,7,10.0,0.03,0,0.29317607797706163
498,prostate,7,10.0,0.03,3,0.42068304371409554
499,prostate,7,10.0,0.03,5,0.5027295905239973
500,prostate,7,10.0,0.03,7,0.579675495121382
501,prostate,7,10.0,0.03,9,0.6104563828490195
502,prostate,7,10.0,0.03,12,0.6219936158672029
503,prostate,7,10.0,0.03,14,0.616416645167021
504,prostate,3,0.0,0.1,0,0.29317607797706163
505,prostate,3,0.0,0.1,3,0.6770025145904832
506,prostate,3,0.0,0.1,5,0.8513409319307439
507,prostate,3,0.0,0.1,7,0.8015674863690674
508,prostate,3,0.0,0.1,9,0.6883796718358589
509,prostate,3,0.0,0.1,12,0.5361163659276773
510,prostate,3,0.0,0.1,14,0.45644296366613496
511,prostate,3,0.1,0.1,0,0.29317607797706163
512,prostate,3,0.1,0.1,3,0.37674352708569564
