opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
28,prostate,5,0.01,100,9,0.458471518,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_9,0.458471518
29,prostate,5,0.01,100,11,0.458471518,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_11,0.458471518
30,prostate,5,0.1,100,5,0.458471518,name_prostate_kernal_size_5_lamda_0.1_sigma_100.0_dilation_level_5,0.458471518
31,prostate,5,0.1,100,6,0.458471518,name_prostate_kernal_size_5_lamda_0.1_sigma_100.0_dilation_level_6,0.458471518
32,prostate,5,0.1,100,7,0.458471518,name_prostate_kernal_size_5_lamda_0.1_sigma_100.0_dilation_level_7,0.458471518
33,prostate,5,0.1,100,9,0.458471518,name_prostate_kernal_size_5_lamda_0.1_sigma_100.0_dilation_level_9,0.458471518
34,prostate,5,0.1,100,11,0.458471518,name_prostate_kernal_size_5_lamda_0.1_sigma_100.0_dilation_level_11,0.458471518
35,prostate,5,1,100,5,0.458471518,name_prostate_kernal_size_5_lamda_1.0_sigma_100.0_dilation_level_5,0.458471518
36,prostate,5,1,100,6,0.458471518,name_prostate_kernal_size_5_lamda_1.0_sigma_100.0_dilation_level_6,0.458471518
37,prostate,5,1,100,7,0.458471518,name_prostate_kernal_size_5_lamda_1.0_sigma_100.0_dilation_level_7,0.458471518
38,prostate,5,1,100,9,0.458471518,name_prostate_kernal_size_5_lamda_1.0_sigma_100.0_dilation_level_9,0.458471518
39,prostate,5,1,100,11,0.458471518,name_prostate_kernal_size_5_lamda_1.0_sigma_100.0_dilation_level_11,0.458471518
45,prostate,3,0.01,10,5,0.458471518,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_5,0.458471518
46,prostate,3,0.01,10,6,0.458471518,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_6,0.458471518
47,prostate,3,0.01,10,7,0.458471518,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_7,0.458471518
48,prostate,3,0.01,10,9,0.458471518,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_9,0.458471518
49,prostate,3,0.01,10,11,0.458471518,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_11,0.458471518
50,prostate,3,0.1,10,5,0.458471518,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_5,0.458471518
51,prostate,3,0.1,10,6,0.458471518,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_6,0.458471518
52,prostate,3,0.1,10,7,0.458471518,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_7,0.458471518
53,prostate,3,0.1,10,9,0.458471518,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_9,0.458471518
54,prostate,3,0.1,10,11,0.458471518,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_11,0.458471518
55,prostate,3,1,10,5,0.458471518,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_5,0.458471518
56,prostate,3,1,10,6,0.458471518,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_6,0.458471518
57,prostate,3,1,10,7,0.458471518,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_7,0.458471518
58,prostate,3,1,10,9,0.458471518,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_9,0.458471518
59,prostate,3,1,10,11,0.458471518,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_11,0.458471518
65,prostate,5,0.01,10,5,0.458471518,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_5,0.458471518
66,prostate,5,0.01,10,6,0.458471518,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_6,0.458471518
67,prostate,5,0.01,10,7,0.458471518,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_7,0.458471518
68,prostate,5,0.01,10,9,0.458471518,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_9,0.458471518
69,prostate,5,0.01,10,11,0.458471518,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_11,0.458471518
70,prostate,5,0.1,10,5,0.458471518,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_5,0.458471518
71,prostate,5,0.1,10,6,0.458471518,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_6,0.458471518
72,prostate,5,0.1,10,7,0.458471518,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_7,0.458471518
73,prostate,5,0.1,10,9,0.458471518,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_9,0.458471518
74,prostate,5,0.1,10,11,0.458471518,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_11,0.458471518
75,prostate,5,1,10,5,0.458471518,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_5,0.458471518
76,prostate,5,1,10,6,0.458471518,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_6,0.458471518
77,prostate,5,1,10,7,0.458471518,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_7,0.458471518
